Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;;
Australia;AUS;Índice de Gini;SI.POV.GINI;;;;;;;;;;;;;;;;;;;;;;31.3;;;;32.5;;;;33.2;;;;;;32.6;;;;;;33.5;;33.5;33.1;;;;35.4;;34.7;;;;34.4;;;;;;;
Australia;AUS;Crecimiento del PIB (% anual);NY.GDP.MKTP.KD.ZG;;2.485789429032;1.29590608067429;6.21461791058083;6.97853350773255;5.98356261115181;2.38254609165584;6.30251721073168;5.09588078246428;7.04423241840924;7.17220703641655;4.00372351928991;3.91265629379166;2.61339388837773;4.10355221488801;1.34997281728944;2.58763920112666;3.59750974774349;0.896784694168801;4.04350392041144;3.03406821566392;3.3379589496938;3.32840049046553;-2.22045813521454;4.58126949106862;5.24924090486381;4.03724724432439;2.55328541629207;5.74072859859231;3.8647095536645;3.57061742142551;-0.397231658736658;0.41252910915604;4.02940866924268;3.98269524456455;3.8360591178651;3.87861846178214;3.96649664429529;4.57669378261247;5.07358525786199;3.93309702604363;1.93088254446003;4.00137703160961;2.9859404859405;4.05555187381954;3.20416012202685;2.7945833156557;3.84430955287924;3.65791265061549;1.93692176952554;2.06746567730687;2.46278617259068;3.91816177220686;2.58487511083116;2.5331154467595;2.1926400283338;2.77065669252896;2.36761725296472;2.94033358170461;;;
Australia;AUS;Gasto en investigación y desarrollo (% del PIB);GB.XPD.RSDV.GD.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.6665;;1.51645;;1.57558;;1.75161;;1.85456;;2.18552;;2.4037;;2.37586;2.23765;;2.1787;;1.91943;;;;;;
Austria;AUT;Índice de Gini;SI.POV.GINI;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;31.3;31.1;;30.2;;;28.8;;;29.5;29.8;28.7;29.6;30.6;30.4;31.5;30.3;30.8;30.5;30.8;30.5;30.5;30.8;29.7;;;;
Austria;AUT;Crecimiento del PIB (% anual);NY.GDP.MKTP.KD.ZG;;5.53797931684528;2.64867511295262;4.13826758157036;6.12435373762843;3.48017491799556;5.64286141093278;3.0080477977549;4.47231278246065;6.27586716607024;6.32114254507779;5.11496867127748;6.20786093023295;4.89043547139374;3.94213814114046;-0.36373570356109;4.57844537493344;5.07998080157401;-0.210653510515499;5.35669983191629;1.73148541873233;-0.144294460384657;2.0112543592022;2.97308798050202;0.0512752572163322;2.4986784919999;2.30139277876287;1.35716801466445;3.29588021671918;3.88707476589489;4.34564154381593;3.44162744917193;2.09352470997408;0.526809466130729;2.40211876560241;2.66798366152948;2.34953385169727;2.09359938952392;3.58142581460447;3.55633124664169;3.37572214708479;1.26716818922992;1.65155392186669;0.941470920725337;2.73512022241023;2.24406532463878;3.45404183614122;3.72741530093519;1.4604236757386;-3.76457817791677;1.83709367680054;2.92279728368581;0.680445576816723;0.0255047121972183;0.661272848852605;1.01450158590511;2.08260842829317;2.47644392123686;2.41976363780752;;;
Austria;AUT;Gasto en investigación y desarrollo (% del PIB);GB.XPD.RSDV.GD.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.58077;1.65491;1.73155;1.84537;1.88602;1.9921;2.06598;2.17456;2.16612;2.37324;2.35923;2.41843;2.56945;2.59674;2.7261;2.66868;2.91472;2.95492;3.08429;3.04979;3.12523;3.15743;;;;
Bélgica;BEL;Índice de Gini;SI.POV.GINI;;;;;;;;;;;;;;;;;;;;;;;;;;25.2;;;25.7;;;;25;;;28.4;;26.8;;;33.1;;;28.1;30.5;29.3;28.1;29.2;28.4;28.6;28.4;28.1;27.5;27.7;28.1;27.7;27.6;27.4;;;;
Bélgica;BEL;Crecimiento del PIB (% anual);NY.GDP.MKTP.KD.ZG;;4.97842306319197;5.21200350925528;4.35158428167051;6.95668473344102;3.56065983986036;3.15589498173408;3.86814694690112;4.19412962494732;6.62979979529467;5.59182153579063;3.98582729907382;5.29560444837105;6.38170206212551;4.56525806779197;-1.96594153429368;5.65274584149404;0.626154820730022;2.8418965781493;2.34107303835739;4.44405402410875;-0.279283604914966;0.59498691972091;0.311842764704281;2.46638261847068;1.65179285231029;1.82276215923669;2.30665938884269;4.72320893200748;3.46916680457367;3.13740246177889;1.83307427924075;1.53065483605788;-0.961873090440875;3.22697146648132;2.38475720698521;1.32147848811599;3.79364486135974;1.96184075078834;3.54273427701128;3.71667711251564;1.09961615969796;1.70688915887587;1.03795305343826;3.57119289125183;2.32173738004792;2.55235376695013;3.67691824085243;0.446916545344948;-2.02072581635507;2.86428532684397;1.69449744610768;0.739229905081658;0.459228050116039;1.57852322952448;2.0327889725624;1.51110603420099;1.96419275543016;1.45840535284985;;;
Bélgica;BEL;Gasto en investigación y desarrollo (% del PIB);GB.XPD.RSDV.GD.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.72963;1.79476;1.82362;1.89068;1.92236;2.02168;1.89073;1.83184;1.80898;1.78231;1.81426;1.84413;1.92413;1.98537;2.05081;2.15533;2.27334;2.33393;2.38729;2.46123;2.54569;2.59448;;;;
Canadá;CAN;Índice de Gini;SI.POV.GINI;;;;;;;;;;;;37.3;;;;33.3;;;;;;32.4;;;;;;31.5;;;;31;;;31.3;;;31.6;33.2;;33.3;;;;33.7;;;33.8;;;33.6;;;33.8;;;;;;;;
